Quarter,ActualInflation,EstimatedInflation
1969.1,NA,4.55342
1969.2,3.5,4.80281
1969.3,3.5,5.28242
1969.4,3.3,5.14525
1970.1,3.7,5.5428
1970.2,3.7,5.64664
1970.3,4.1,4.97808
1970.4,3.8,4.96987
1971.1,3.8,5.0924
1971.2,3.8,4.98576
1971.3,NA,5.20999
1971.4,3.1,4.71839
1972.1,2.9,4.75147
1972.2,3.4,4.06313
1972.3,3.8,3.96591
1972.4,3.5,4.36526
1973.1,4,4.02944
1973.2,4.7,5.15693
1973.3,6.1,6.19042
1973.4,5.3,6.76175
1974.1,5.8,7.56073
1974.2,7.3,8.48165
1974.3,7.4,9.55773
1974.4,7.8,10.92268
1975.1,6.5,11.17968
1975.2,6,10.10871
1975.3,7.8,8.99325
1975.4,5.2,7.59438
1976.1,5.9,6.36647
1976.2,5.9,5.92379
1976.3,5.6,5.39846
1976.4,5,5.43813
1977.1,5.5,6.05147
1977.2,6.3,6.43365
1977.3,6,6.2882
1977.4,6.1,6.5057
1978.1,5.9,6.45633
1978.2,7.2,6.89112
1978.3,7.6,7.18679
1978.4,7,7.27376
1979.1,6.8,7.74591
1979.2,8.7,8.26527
1979.3,9.6,8.63743
1979.4,9.4,8.69586
1980.1,9.7,9.03482
1980.2,10.4,8.74404
1980.3,10,8.92442
1980.4,8.8,9.86829
1981.1,8.6,10.33684
1981.2,8.3,9.82675
1981.3,6.6,9.37584
1981.4,7.3,8.27702
1982.1,6.1,6.94976
1982.2,5.7,6.30998
1982.3,4.9,5.90731
1982.4,4.1,5.1701
1983.1,3.8,4.62213
1983.2,3.2,4.12103
1983.3,4.5,3.71794
1983.4,4.6,3.37103
1984.1,4.3,3.76524
1984.2,4.7,3.93699
1984.3,4.5,3.71247
1984.4,3.9,3.60987
1985.1,3.2,3.44454
1985.2,3.1,3.09845
1985.3,3.7,2.77375
1985.4,3.7,2.78761
1986.1,3,2.12714
1986.2,2.8,2.11137
1986.3,2.6,2.26964
1986.4,3,2.38122
1987.1,3,2.66513
1987.2,2.6,2.77844
1987.3,4,3.00203
1987.4,3.8,3.10174
1988.1,3.5,2.97933
1988.2,4,3.31283
1988.3,4,3.72044
1988.4,3.8,3.69986
1989.1,3.7,4.05972
1989.2,3.9,4.09449
1989.3,4.6,3.57217
1989.4,4.1,3.49426
1990.1,4.2,3.57153
1990.2,4.1,3.74261
1990.3,4.9,4.01151
1990.4,4.6,4.15991
1991.1,3.7,4.04524
1991.2,3.2,3.56959
1991.3,3.8,3.39223
1991.4,2.9,3.12837
1992.1,2.5,2.60449
1992.2,2.7,2.50828
1992.3,2.9,2.18945
1992.4,2.2,2.1904
1993.1,2.2,2.26848
1993.2,2.4,2.20222
1993.3,2.5,2.21423
1993.4,2.5,2.16417
1994.1,2.2,2.09945
1994.2,2.2,2.03818
1994.3,2.6,2.16272
1994.4,2.8,2.14115
1995.1,2.3,2.1775
1995.2,2.4,2.15179
1995.3,2.4,2.01001
1995.4,2.2,1.99573
1996.1,2.5,2.01387
1996.2,2.9,1.85836
1996.3,3,1.93249
1996.4,2.4,1.87515
1997.1,2.2,1.84206
1997.2,2.4,1.92092
1997.3,2.3,1.70146
1997.4,2,1.62325
1998.1,1.6,1.2597
1998.2,1.7,1.0589
1998.3,1.7,1.15387
1998.4,1.3,1.03667
1999.1,1.5,1.31327
1999.2,1.5,1.48916
1999.3,2.2,1.46613
1999.4,1.7,1.61467
2000.1,1.9,1.95654
2000.2,1.8,2.04524
2000.3,2.2,2.28869
2000.4,1.7,2.38695
2001.1,1.6,2.31438
2001.2,1.3,2.50616
2001.3,2.2,2.23074
2001.4,1.7,2.00145
2002.1,1.5,1.66904
2002.2,1.4,1.41047
2002.3,1.7,1.53019
2002.4,1.2,1.82954
2003.1,1.2,2.17683
2003.2,1.2,2.02375
2003.3,1.3,2.13943
2003.4,0.9,2.08733
2004.1,0.6,2.23629
2004.2,0.7,2.80967
2004.3,1.9,2.99564
2004.4,1.3,3.2088
2005.1,1.6,3.28733
2005.2,1.5,3.09885
2005.3,2.4,3.40047
2005.4,2.2,3.50341
2006.1,2.2,3.31126
2006.2,2.1,3.53063
2006.3,2.1,3.24883
2006.4,2.7,2.86363